"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.423010970E-1,6.832062602E-1,3.379091620E-2,-2.490367889E-1,7.279642452E-1
9.472542220E-1,7.334154248E-1,-3.333091736E-3,-4.526138306E-1,8.618402256E-1
9.522073470E-1,7.274571061E-1,1.105809212E-2,-5.052585602E-1,8.857778137E-1
9.571599510E-1,5.872864723E-1,6.705731153E-2,-4.816541672E-1,7.624911936E-1
9.621130760E-1,5.618294477E-1,1.025639474E-1,-5.180368423E-1,7.710602192E-1
9.670661490E-1,4.600641131E-1,1.345752478E-1,-3.257732391E-1,5.795668114E-1
9.720192740E-1,3.909384608E-1,1.390118301E-1,-1.275329590E-1,4.340758283E-1
9.769770340E-1,3.080123663E-1,1.161704063E-1,3.149509430E-2,3.306949078E-1
9.819303680E-1,1.770333052E-1,7.804533839E-2,1.325645447E-1,2.345319264E-1
9.868837010E-1,8.583134413E-2,5.115550756E-2,1.188459396E-1,1.552683579E-1
9.918370340E-1,1.025408506E-2,-3.838652372E-2,2.431488037E-2,4.658202305E-2
9.967878160E-1,-5.831378698E-2,-7.730734348E-2,-1.364221573E-1,1.672959297E-1
1.001741045E0,-1.431094110E-1,-5.081635714E-2,-2.677688599E-1,3.078356184E-1
1.006694222E0,-1.822344959E-1,7.301509380E-3,-3.031148911E-1,3.537532483E-1
1.011647451E0,-1.978068352E-1,-2.191603184E-2,-3.382577896E-1,3.924617035E-1
1.016598857E0,-1.869507134E-1,2.376937866E-2,-3.706960678E-1,4.158498855E-1
1.021551982E0,-2.355592847E-1,3.423225880E-2,-4.289331436E-1,4.905544474E-1
1.026505107E0,-2.084712088E-1,3.150248528E-2,-4.914073944E-1,5.347278549E-1
1.031458232E0,-2.449202985E-1,3.469586372E-2,-5.724191666E-1,6.235811558E-1
1.036415159E0,-2.754890919E-1,7.252961397E-2,-5.980367661E-1,6.624218884E-1
1.041368493E0,-3.127350509E-1,1.184769273E-1,-5.137195587E-1,6.129826909E-1
1.046321826E0,-3.192358315E-1,1.934595108E-1,-4.773044586E-1,6.059353469E-1
1.051275107E0,-3.253355920E-1,2.881861925E-1,-5.291681290E-1,6.847725445E-1
1.056226618E0,-2.918089628E-1,3.694583774E-1,-5.235433578E-1,7.040948877E-1
1.061179847E0,-2.368763387E-1,4.398237467E-1,-4.869832993E-1,6.976446529E-1
1.066133076E0,-1.643841565E-1,4.450399876E-1,-3.791894913E-1,6.073445577E-1
1.071086305E0,-8.826100826E-2,4.522179961E-1,-2.553567886E-1,5.267809897E-1
1.076043545E0,1.476880908E-2,3.872205019E-1,-2.255058289E-2,3.881576530E-1
1.080996930E0,8.399164677E-2,3.044856191E-1,1.876773834E-1,3.674083412E-1
1.085950368E0,9.903720021E-2,2.338632941E-1,4.018049240E-1,4.753394622E-1
1.090903805E0,7.146865129E-2,2.668980360E-1,4.578304291E-1,5.347438934E-1
1.095853857E0,2.913978696E-2,3.029222488E-1,4.446878433E-1,5.388490457E-1
1.100807139E0,-2.057391405E-2,3.321599960E-1,3.411970139E-1,4.766224409E-1
1.105760368E0,-3.961414099E-3,3.169845939E-1,3.956508636E-1,5.069857310E-1
1.110713649E0,2.431958914E-3,2.382180691E-1,4.380569458E-1,4.986458168E-1
1.115664482E0,-8.775115013E-3,1.434252262E-1,4.351367950E-1,4.582486536E-1
1.120617607E0,-4.241356254E-2,4.681921005E-2,3.251247406E-1,3.312054433E-1
1.125570784E0,-4.582676291E-2,-2.514070272E-2,1.681051254E-1,1.760439727E-1
1.130523909E0,-9.769052267E-3,-8.187717199E-2,-1.664638519E-2,8.412138739E-2
1.135476930E0,2.188870311E-2,-1.729457974E-1,-1.813421249E-1,2.515438937E-1
1.140430055E0,1.460971236E-1,-2.381532788E-1,-2.497749329E-1,3.747650875E-1
1.145383180E0,1.685133874E-1,-2.984892130E-1,-3.201904297E-1,4.690570150E-1
1.150336305E0,3.648081422E-2,-2.151756287E-1,-4.593868256E-1,5.085938030E-1
1.155294118E0,-4.608693719E-2,-1.050370932E-1,-4.934444427E-1,5.066006463E-1
1.160247451E0,-5.057862401E-2,4.936099052E-3,-4.203176498E-1,4.233786592E-1
1.165200837E0,-1.103598475E-1,1.244351864E-1,-3.715887070E-1,4.071137172E-1
1.170154170E0,-1.506756395E-1,2.178980112E-1,-3.233404160E-1,4.180092298E-1
1.175106253E0,-1.325581968E-1,2.619409561E-1,-2.851324081E-1,4.092495940E-1
1.180059587E0,-1.072914600E-1,3.237802982E-1,-2.997303009E-1,4.540742144E-1
1.185012868E0,-4.506453872E-2,3.182082176E-1,-3.573026657E-1,4.805751526E-1
1.189966149E0,2.423775196E-2,2.579097748E-1,-4.551944733E-1,5.237431900E-1
1.194919430E0,1.067891419E-1,1.604216099E-1,-5.884199142E-1,6.191744578E-1
1.199872764E0,1.849356592E-1,7.196199894E-2,-6.760396957E-1,7.045632672E-1
1.204826045E0,2.504988313E-1,-1.869511604E-2,-8.467922211E-1,8.832645343E-1
1.209779326E0,3.091433346E-1,-8.947277069E-2,-9.836044312E-1,1.034916738E0
1.214729795E0,3.421789408E-1,-1.142414808E-1,-1.084283829E0,1.142719985E0
1.219682972E0,3.748284578E-1,-1.172353029E-1,-1.175280571E0,1.239162987E0
1.224636097E0,3.807521462E-1,-1.075909138E-1,-1.166021347E0,1.231321966E0
1.229589274E0,3.534025550E-1,-5.956447124E-2,-1.116289139E0,1.172408945E0
1.234543337E0,3.361062407E-1,4.055476189E-2,-9.568328857E-1,1.014958750E0
1.239496566E0,3.240452111E-1,4.153883457E-2,-8.214969635E-1,8.840746771E-1
1.244449743E0,3.550127447E-1,6.968092918E-2,-6.671457291E-1,7.589287876E-1
1.249402972E0,3.911019266E-1,1.409090757E-1,-5.844802856E-1,7.172400497E-1
1.254355993E0,4.046467841E-1,1.545602083E-1,-5.136194229E-1,6.718874827E-1
1.259309222E0,3.998454213E-1,1.511990428E-1,-4.760503769E-1,6.398136235E-1
1.264262399E0,4.271291196E-1,1.807087064E-1,-4.263296127E-1,6.299617926E-1
1.269215576E0,3.817585707E-1,2.143098116E-1,-3.526077271E-1,5.621392272E-1
1.274168701E0,2.832280695E-1,2.517325282E-1,-2.716951370E-1,4.662677907E-1
1.279121930E0,1.078733802E-1,3.186559677E-1,-1.382837296E-1,3.637316068E-1
1.284075107E0,-9.694302082E-2,3.711871505E-1,-6.953334808E-2,3.898881076E-1
1.289028284E0,-3.222754598E-1,4.018076658E-1,5.639934540E-2,5.181619037E-1
1.293982399E0,-4.686276317E-1,4.149199128E-1,1.461124420E-1,6.427435234E-1
1.298935628E0,-6.104689837E-1,4.291970134E-1,2.688636780E-1,7.932024544E-1
1.303888909E0,-6.994267702E-1,3.749560118E-1,3.386335373E-1,8.628223978E-1
1.308842139E0,-6.868137121E-1,2.400018573E-1,3.724079132E-1,8.173136610E-1
1.313797139E0,-6.549892426E-1,7.453238964E-2,3.561286926E-1,7.492620574E-1
1.318750472E0,-5.432149172E-1,-7.113048434E-2,2.447299957E-1,6.000289684E-1
1.323703805E0,-4.489516020E-1,5.820423365E-3,2.080450058E-1,4.948475954E-1
1.328657139E0,-3.129906654E-1,3.733608127E-2,1.550092697E-1,3.512620294E-1
1.333610680E0,-2.181310654E-1,-9.527407587E-2,5.680656433E-2,2.447147257E-1
1.338564014E0,-2.968845367E-1,-1.836904436E-1,-1.176433563E-1,3.684054377E-1
1.343517347E0,-4.057744741E-1,-3.042137325E-1,-3.466777802E-1,6.143162070E-1
1.348470680E0,-5.712515116E-1,-4.205929935E-1,-4.822244644E-1,8.577687274E-1
1.353424743E0,-9.033507109E-1,-2.865613699E-1,-5.581531525E-1,1.099861295E0
1.358378076E0,-1.375726342E0,-8.209083974E-2,-5.556945801E-1,1.485987329E0
1.363331462E0,-1.387174010E0,7.620733976E-2,-4.370851517E-1,1.456400605E0
1.368284847E0,-1.021409869E0,9.767426550E-2,-2.649307251E-1,1.059720091E0
1.373236409E0,-7.803462744E-1,6.878359616E-2,-1.538839340E-1,7.983431319E-1
1.378189691E0,-5.561816692E-1,2.082075179E-2,-5.564880371E-2,5.593463527E-1
1.383142972E0,-2.769916058E-1,-1.011058614E-1,2.303791046E-2,2.957659382E-1
1.388096305E0,-8.624386787E-2,-2.370528579E-1,1.851940155E-1,3.129359128E-1
1.393056670E0,-1.079964638E-2,-3.511712253E-1,3.495531082E-1,4.956059295E-1
1.398010316E0,1.054720879E-1,-4.650536478E-1,4.946966171E-1,6.871127998E-1
1.402963962E0,2.939565778E-1,-4.979577363E-1,5.515260696E-1,7.990953524E-1
1.407917607E0,3.153401017E-1,-5.984132886E-1,7.327308655E-1,9.972122968E-1
1.412863962E0,2.573840618E-1,-5.660654306E-1,8.276586533E-1,1.035227257E0
1.417817243E0,2.727477551E-1,-4.969596863E-1,7.768869400E-1,9.617242771E-1
1.422770524E0,2.778398395E-1,-4.105858803E-1,8.124771118E-1,9.517850591E-1
1.427723805E0,2.513685226E-1,-3.094509840E-1,8.362636566E-1,9.264356152E-1
1.432683128E0,3.078114390E-1,-1.721086502E-1,8.912210464E-1,9.584592965E-1
1.437636722E0,3.683127761E-1,-8.147209883E-3,8.937120438E-1,9.666653481E-1
1.442590264E0,3.850184679E-1,1.889787912E-1,9.345989227E-1,1.028312866E0
1.447543857E0,3.336827755E-1,3.281534314E-1,1.066183090E0,1.164377624E0
1.452496201E0,2.328399420E-1,4.213009477E-1,1.161519051E0,1.257312782E0
1.457449691E0,2.468943596E-1,4.824395776E-1,1.082202911E0,1.210317277E0
1.462403232E0,3.281689882E-1,5.352772474E-1,9.840555191E-1,1.167296826E0
1.467356722E0,3.938654661E-1,4.984599948E-1,7.980318069E-1,1.020023106E0
1.472309222E0,4.835500717E-1,3.751316965E-1,5.461053848E-1,8.202289637E-1
1.477262659E0,5.719358921E-1,1.971070766E-1,3.098287582E-1,6.796732478E-1
1.482216149E0,6.687916517E-1,2.761180699E-2,6.056880951E-2,6.720961732E-1
1.487169587E0,7.660917640E-1,-7.285477221E-2,-1.253128052E-1,7.796843642E-1
1.492123076E0,8.601364493E-1,-1.465346217E-1,-3.078584671E-1,9.252480438E-1
1.497076514E0,9.970616102E-1,-6.881713867E-2,-4.753551483E-1,1.106720457E0
1.502030003E0,1.009950399E0,6.469151378E-2,-5.565195084E-1,1.154945351E0
1.506983441E0,1.021901488E0,2.281011194E-1,-6.067733765E-1,1.210159784E0
1.511938805E0,1.017348289E0,4.165374339E-1,-6.455221176E-1,1.274833236E0
1.516892347E0,9.314123392E-1,5.937050581E-1,-7.302026749E-1,1.324088588E0
1.521845941E0,8.483569622E-1,7.572686076E-1,-8.606147766E-1,1.426121689E0
